                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5383,                 1.5171,                 1.8989,                   0.75,                0.42537,                0.61498,                 0.3871,                 1.5817,                 1.5663,                  2.109,               0.008317,               0.008317,               0.008317
                     36,                 1.5083,                 1.4987,                 1.8611,                0.68948,                0.67938,                0.69737,                0.39374,                 1.5811,                 1.4387,                 2.1044,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.4718,                 1.4478,                 1.8312,                0.75738,                 0.6057,                0.70645,                0.41006,                 1.4913,                 1.4099,                 1.9995,               0.008218,               0.008218,               0.008218
                     38,                 1.4976,                 1.4611,                 1.8423,                0.61251,                0.77612,                0.76159,                0.43672,                 1.5214,                 1.4397,                 2.0791,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.4845,                 1.4181,                 1.8365,                0.72103,                0.67512,                0.75636,                0.45284,                  1.433,                 1.4332,                 1.9567,               0.008119,               0.008119,               0.008119
                     40,                 1.4762,                 1.4349,                 1.8307,                0.65517,                0.70896,                0.70484,                0.42911,                 1.4998,                 1.3713,                 2.0065,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4762,                  1.447,                 1.8139,                 0.7412,                0.71642,                0.76578,                0.45264,                 1.4638,                 1.3318,                 1.9504,                0.00802,                0.00802,                0.00802
                     42,                 1.4479,                 1.4187,                  1.796,                 0.7186,                0.66702,                0.72003,                0.45309,                 1.4277,                 1.2401,                 1.9395,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4542,                 1.3897,                 1.7947,                0.79125,                0.72388,                0.76995,                0.47576,                 1.4825,                 1.2031,                 1.9791,               0.007921,               0.007921,               0.007921
                     44,                  1.456,                 1.4113,                 1.8048,                0.75926,                0.61194,                0.68517,                 0.4349,                 1.5269,                 1.3241,                 1.9923,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4346,                 1.3446,                 1.7747,                0.74914,                0.71317,                0.75377,                0.44842,                 1.5453,                 1.3109,                  1.918,               0.007822,               0.007822,               0.007822
                     46,                 1.4639,                 1.3906,                 1.7857,                0.72189,                0.79422,                0.80282,                0.50201,                 1.3926,                 1.2699,                 1.8653,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.3948,                 1.3209,                 1.7533,                0.75866,                 0.5597,                0.68022,                0.40172,                 1.6085,                 1.3637,                 2.0356,               0.007723,               0.007723,               0.007723
                     48,                 1.4387,                 1.3788,                 1.7729,                   0.75,                0.69403,                0.73504,                0.43135,                 1.5056,                 1.2971,                 1.9344,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4286,                 1.3811,                 1.7484,                0.82592,                0.74627,                0.78878,                0.51393,                 1.4157,                  1.143,                 1.8421,               0.007624,               0.007624,               0.007624
                     50,                 1.4083,                 1.3535,                 1.7485,                 0.7996,                0.73134,                0.78666,                0.50911,                 1.3955,                 1.1703,                 1.8475,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4186,                 1.3275,                 1.7623,                0.71619,                0.77214,                0.77451,                0.49675,                 1.4202,                 1.2272,                 1.8413,               0.007525,               0.007525,               0.007525
                     52,                 1.4157,                  1.316,                 1.7397,                0.84476,                0.68657,                0.78563,                0.48674,                 1.4506,                 1.1687,                 1.8814,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4046,                 1.3185,                  1.728,                0.84549,                0.75373,                0.80454,                0.49892,                 1.4279,                 1.1243,                 1.8855,               0.007426,               0.007426,               0.007426
                     54,                 1.3753,                 1.2993,                 1.7092,                0.77273,                0.76119,                0.78058,                0.46267,                  1.453,                 1.1382,                 1.8638,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.3913,                 1.3158,                 1.7132,                0.71429,                0.74627,                0.77627,                0.51979,                 1.3807,                 1.1089,                 1.7854,               0.007327,               0.007327,               0.007327
                     56,                 1.4042,                 1.2933,                 1.7192,                0.76744,                0.73881,                0.74693,                0.46161,                 1.4056,                 1.2131,                 1.8265,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3706,                 1.2886,                  1.693,                0.74974,                0.79104,                0.83615,                0.51692,                 1.3657,                 1.2276,                 1.7914,               0.007228,               0.007228,               0.007228
                     58,                 1.3828,                 1.2752,                 1.7175,                0.73016,                0.68657,                0.74657,                0.49469,                 1.4536,                 1.2196,                 1.8504,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3888,                 1.2856,                 1.7085,                0.77168,                0.68101,                0.76173,                0.48466,                 1.4915,                 1.2115,                 1.9404,               0.007129,               0.007129,               0.007129
                     60,                 1.3723,                  1.235,                  1.717,                0.80634,                0.78358,                0.80589,                0.49084,                 1.4188,                 1.1137,                 1.8506,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3846,                 1.2629,                 1.7003,                0.76515,                0.75373,                0.77763,                0.47974,                 1.4384,                 1.1673,                 1.8267,                0.00703,                0.00703,                0.00703
                     62,                 1.3508,                 1.2469,                 1.6769,                0.73485,                0.72388,                0.77362,                0.48656,                 1.4484,                 1.2136,                 1.8628,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.3674,                 1.2458,                 1.6986,                   0.75,                0.71642,                0.73682,                0.39417,                 1.5003,                 1.3151,                  1.928,               0.006931,               0.006931,               0.006931
                     64,                 1.3501,                  1.211,                 1.6799,                0.74815,                0.75373,                0.77985,                0.49279,                 1.3711,                 1.1576,                 1.8427,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.3658,                 1.2118,                  1.678,                0.76087,                0.78358,                0.77319,                 0.4802,                 1.3837,                 1.0552,                 1.8337,               0.006832,               0.006832,               0.006832
                     66,                 1.3443,                 1.2141,                 1.6678,                0.76259,                0.79104,                 0.8312,                 0.5301,                 1.4382,                 1.0528,                 1.8265,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.3474,                 1.2262,                 1.6711,                0.79389,                0.72388,                0.80675,                0.49882,                 1.4422,                 1.1401,                 1.8383,               0.006733,               0.006733,               0.006733
                     68,                 1.3186,                 1.1929,                 1.6394,                0.71775,                0.74012,                0.73609,                0.48124,                 1.3695,                 1.1217,                 1.7992,              0.0066835,              0.0066835,              0.0066835
                     69,                  1.347,                 1.2266,                 1.6763,                0.76159,                0.85821,                 0.8418,                0.52279,                 1.3534,                 1.0918,                 1.7845,               0.006634,               0.006634,               0.006634
                     70,                 1.3515,                 1.2139,                 1.6671,                 0.8471,                0.66154,                0.78236,                0.48455,                  1.513,                 1.1692,                 1.8829,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.3407,                 1.1843,                 1.6615,                0.78095,                0.61194,                0.69638,                0.45366,                 1.4357,                  1.164,                 1.8755,               0.006535,               0.006535,               0.006535
                     72,                 1.3209,                 1.1574,                 1.6423,                0.75524,                0.80597,                0.80963,                0.52945,                 1.3708,                 1.0198,                 1.7731,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3359,                 1.1606,                 1.6469,                0.75497,                0.85075,                 0.8161,                0.50671,                 1.4261,                 1.0096,                 1.8517,               0.006436,               0.006436,               0.006436
                     74,                 1.3046,                 1.1136,                 1.6205,                0.81329,                0.77612,                 0.8164,                0.50811,                 1.4262,                 1.0711,                 1.8681,              0.0063865,              0.0063865,              0.0063865
                     75,                  1.327,                 1.1432,                 1.6479,                0.81992,                0.81343,                0.84905,                0.55142,                 1.3966,                0.99971,                 1.7888,               0.006337,               0.006337,               0.006337
