                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                 1.0951,                0.81597,                 1.4227,                0.84058,                0.86567,                0.87626,                0.56649,                 1.3823,                0.78182,                 1.7615,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.1075,                0.83565,                 1.4277,                0.88713,                0.85075,                0.86772,                0.53823,                 1.4717,                0.87132,                 1.8589,               0.002575,               0.002575,               0.002575
                    152,                 1.1023,                0.83165,                 1.4249,                0.83007,                 0.8806,                0.87376,                0.57489,                 1.3464,                0.75403,                 1.7077,              0.0025255,              0.0025255,              0.0025255
                    153,                 1.0888,                0.81631,                 1.4139,                0.86995,                0.83582,                0.86779,                0.57754,                 1.4057,                0.75086,                 1.7785,               0.002476,               0.002476,               0.002476
                    154,                 1.0839,                0.83289,                  1.415,                0.82413,                0.80435,                0.85449,                0.54305,                 1.3906,                0.84947,                 1.7938,              0.0024265,              0.0024265,              0.0024265
                    155,                  1.091,                 0.8119,                 1.4064,                 0.8169,                0.80597,                0.84657,                0.56012,                 1.3732,                0.80712,                 1.7916,               0.002377,               0.002377,               0.002377
                    156,                 1.0828,                0.81697,                 1.4153,                 0.8255,                0.84328,                0.87321,                0.55982,                  1.348,                0.82432,                 1.7655,              0.0023275,              0.0023275,              0.0023275
                    157,                 1.0745,                0.80307,                 1.4089,                0.78523,                0.87313,                0.86134,                 0.5629,                 1.3683,                0.82822,                 1.7933,               0.002278,               0.002278,               0.002278
                    158,                 1.0987,                0.82432,                 1.4194,                0.81217,                0.81343,                0.85246,                0.54924,                 1.4199,                0.83639,                 1.8324,              0.0022285,              0.0022285,              0.0022285
                    159,                 1.0713,                0.77371,                  1.406,                0.79198,                0.89552,                0.87212,                0.57189,                 1.3719,                0.80251,                 1.7441,               0.002179,               0.002179,               0.002179
